folioviv,foliohog,huespedes,huesp_come,trabaja_do,cuid_perso,lavandero,chofer,cocinero,jardinero,tot_integ,tot_hom,tot_muj
0100515107,1,0, ,1,2,2,2,2,1,1,0,1
0100517005,1,0, , , , , , , ,3,2,1
0100517032,1,0, , , , , , , ,2,1,1
0100517053,1,0, , , , , , , ,6,3,3
0100517083,1,0, , , , , , , ,5,2,3
0100517141,1,0, , , , , , , ,3,1,2
0100521021,1,0, , , , , , , ,4,2,2
0100521046,1,0, , , , , , , ,4,3,1
0100521066,1,0, , , , , , , ,5,2,3
0100521089,1,0, , , , , , , ,6,3,3
0100521117,1,0, , , , , , , ,4,2,2
0100535002,1,0, , , , , , , ,1,0,1
0100535038,1,0, , , , , , , ,7,2,5
0100535055,1,0, , , , , , , ,3,1,2
0100535084,1,0, , , , , , , ,3,0,3
0100535089,1,0, , , , , , , ,5,2,3
0100536012,1,0, , , , , , , ,4,0,4
0100536034,1,0, , , , , , , ,3,0,3
0100536056,1,0, , , , , , , ,3,2,1
0100536079,1,0, , , , , , , ,2,1,1
0100540022,1,0, , , , , , , ,3,2,1
0100540044,1,0, , , , , , , ,3,1,2
0100540066,1,0, , , , , , , ,4,3,1
0100540104,1,0, , , , , , , ,6,3,3
0100542009,1,0, , , , , , , ,5,4,1
0100542027,1,0, , , , , , , ,5,2,3
0100542043,1,0, , , , , , , ,4,1,3
0100542068,1,0, , , , , , , ,2,1,1
0100542086,1,0, , , , , , , ,3,2,1
0100552010,1,0, , , , , , , ,12,4,8
0100552031,1,0, , , , , , , ,9,3,6
0100552046,1,0, , , , , , , ,1,1,0
0100552063,1,0, , , , , , , ,10,6,4
0100552078,1,0, , , , , , , ,1,0,1
0100557013,1,0, , , , , , , ,1,0,1
0100557047,1,0, , , , , , , ,3,1,2
0100557060,1,0, , , , , , , ,4,3,1
0100557085,1,0, , , , , , , ,3,2,1
0100557102,1,0, , , , , , , ,2,1,1
0100561011,1,0, , , , , , , ,2,2,0
0100561032,1,0, , , , , , , ,3,2,1
0100561083,1,0, , , , , , , ,1,1,0
0100561105,1,0, , , , , , , ,5,4,1
0100564009,1,0, , , , , , , ,4,1,3
0100564046,1,0, , , , , , , ,4,3,1
0100564068,1,0, , , , , , , ,7,3,4
0100564094,1,0, , , , , , , ,4,2,2
0100564110,1,0, , , , , , , ,5,3,2
0100568051,1,0, , , , , , , ,1,0,1
0100568084,1,0, , , , , , , ,3,2,1
0100568113,1,0, , , , , , , ,5,2,3
0100568150,1,0, , , , , , , ,1,0,1
0100580011,1,0, , , , , , , ,5,2,3
0100580025,1,0, , , , , , , ,5,3,2
0100580047,1,0, , , , , , , ,3,2,1
0100580066,1,0, , , , , , , ,5,3,2
0100580081,1,0, , , , , , , ,7,3,4
0100596006,1,0, , , , , , , ,5,1,4
0100596034,1,0, , , , , , , ,4,2,2
0100596093,1,0, , , , , , , ,4,2,2
0100596104,1,0, , , , , , , ,2,1,1
0100597019,1,0, , , , , , , ,3,1,2
0100597030,1,0, , , , , , , ,2,1,1
0100597081,1,0, , , , , , , ,5,2,3
0100605043,1,0, , , , , , , ,4,3,1
0100605059,1,0, , , , , , , ,6,1,5
0100605099,1,0, , , , , , , ,3,1,2
0100605123,1,0, , , , , , , ,2,1,1
0100605137,1,0, , , , , , , ,3,1,2
0100606006,1,0, , , , , , , ,1,1,0
0100606029,1,0, , , , , , , ,2,1,1
0100606038,1,0, , , , , , , ,4,2,2
0100606060,1,0, ,1,2,2,2,2,2,2,2,0
0100606099,1,0, , , , , , , ,4,3,1
0100620011,1,0, , , , , , , ,6,1,5
0100620030,1,0, , , , , , , ,4,2,2
0100620049,1,0, , , , , , , ,4,3,1
0100620067,1,0, , , , , , , ,2,1,1
0100620085,1,0, ,1,2,2,2,2,2,4,1,3
0100634014,1,0, , , , , , , ,1,0,1
0100634046,1,0, , , , , , , ,2,1,1
0100634069,1,0, , , , , , , ,2,1,1
0100634092,1,0, , , , , , , ,2,1,1
0100638021,1,0, , , , , , , ,2,0,2
0100638048,1,0, , , , , , , ,4,1,3
0100638075,1,0, , , , , , , ,3,1,2
0100638103,1,0, , , , , , , ,2,1,1
0100638129,1,0, , , , , , , ,3,2,1
0100647004,1,0, , , , , , , ,4,1,3
0100647026,1,0, , , , , , , ,4,2,2
0100647040,1,0, , , , , , , ,3,1,2
0100647077,1,0, , , , , , , ,3,0,3
0100650004,1,0, , , , , , , ,3,2,1
0100650024,1,0, , , , , , , ,2,1,1
0100650044,1,0, , , , , , , ,3,2,1
0100650068,1,0, , , , , , , ,1,0,1
0100650099,1,0, , , , , , , ,4,1,3
0100654010,1,0, , , , , , , ,3,1,2
0100654038,1,0, , , , , , , ,5,2,3
0100654094,1,0, ,1,2,2,2,2,2,1,0,1
0100654108,1,0, , , , , , , ,1,0,1
0100654108,2,0, , , , , , , ,6,3,3
0100654112,1,0, , , , , , , ,3,2,1
0100656026,1,0, , , , , , , ,5,2,3
0100656049,1,0, , , , , , , ,4,1,3
0100656075,1,0, , , , , , , ,4,2,2
0100656106,1,0, , , , , , , ,4,2,2
0100658019,1,0, , , , , , , ,6,2,4
0100658051,1,0, , , , , , , ,1,0,1
0100658073,1,0, , , , , , , ,1,1,0
0100658104,1,0, , , , , , , ,2,1,1
0100658135,1,0, , , , , , , ,4,2,2
0100676006,1,0, , , , , , , ,1,0,1
0100676024,1,0, , , , , , , ,3,0,3
0100676043,1,0, , , , , , , ,2,1,1
0100676058,1,0, , , , , , , ,4,2,2
0100676070,1,0, , , , , , , ,4,3,1
0100678046,1,0, ,1,2,2,2,2,1,6,3,3
0100678079,1,0, ,1,2,2,2,2,1,1,0,1
0100678096,1,0, ,1,2,2,2,2,1,4,2,2
0100679046,1,0, ,1,2,2,2,2,2,5,2,3
0100679060,1,0, , , , , , , ,2,1,1
0100694009,1,0, , , , , , , ,4,3,1
0100694022,1,0, , , , , , , ,3,3,0
0100694067,1,0, , , , , , , ,5,2,3
0100694080,1,0, , , , , , , ,4,1,3
0100694107,1,0, , , , , , , ,3,1,2
0100705027,1,0, , , , , , , ,4,1,3
0100705037,1,0, , , , , , , ,5,3,2
0100705057,1,0, , , , , , , ,1,1,0
0100705079,1,0, , , , , , , ,1,1,0
0100705099,1,0, , , , , , , ,5,3,2
0100713007,1,0, , , , , , , ,3,2,1
0100713050,1,0, , , , , , , ,8,4,4
0100713068,1,0, , , , , , , ,10,5,5
0100713091,1,0, , , , , , , ,4,1,3
0100713123,1,0, , , , , , , ,3,2,1
0100718003,1,0, , , , , , , ,4,1,3
0100718047,1,0, , , , , , , ,1,1,0
0100718068,1,0, , , , , , , ,5,2,3
0100718084,1,0, , , , , , , ,1,0,1
0100720014,1,0, , , , , , , ,8,4,4
0100720039,1,0, , , , , , , ,2,1,1
0100720061,1,0, , , , , , , ,3,2,1
0100720085,1,0, , , , , , , ,5,3,2
0100720111,1,0, , , , , , , ,2,1,1
0100725017,1,0, , , , , , , ,7,5,2
0100725030,1,0, , , , , , , ,7,4,3
0100725051,1,0, , , , , , , ,7,4,3
0100725069,1,0, , , , , , , ,7,3,4
0100725089,1,0, , , , , , , ,4,2,2
0100745015,1,0, , , , , , , ,6,2,4
0100745032,1,0, , , , , , , ,11,6,5
0100745049,1,0, , , , , , , ,2,2,0
0100745068,1,0, , , , , , , ,8,5,3
0100745090,1,0, , , , , , , ,1,1,0
0100771003,1,0, , , , , , , ,3,1,2
0100771038,1,0, , , , , , , ,5,3,2
0100771070,1,0, , , , , , , ,1,1,0
0100771110,1,0, , , , , , , ,4,3,1
0100771117,1,0, , , , , , , ,2,1,1
0100777010,1,0, , , , , , , ,2,1,1
0100777036,1,0, , , , , , , ,2,1,1
0100777066,1,0, , , , , , , ,4,2,2
0100777087,1,0, , , , , , , ,1,0,1
0100777104,1,0, , , , , , , ,3,1,2
0100783021,1,0, , , , , , , ,4,2,2
0100783080,1,0, , , , , , , ,3,3,0
0100783105,1,0, ,1,2,2,2,2,2,2,1,1
0100795024,1,0, , , , , , , ,5,3,2
0100795087,1,0, , , , , , , ,4,2,2
0100795106,1,0, , , , , , , ,3,1,2
0100799008,1,0, , , , , , , ,4,2,2
0100799020,1,0, , , , , , , ,3,2,1
0100799045,1,0, , , , , , , ,3,2,1
0100799067,1,0, , , , , , , ,2,1,1
0100802001,1,0, , , , , , , ,1,1,0
0100802032,1,0, , , , , , , ,5,4,1
0100802058,1,0, , , , , , , ,2,1,1
0100802093,1,0, , , , , , , ,4,2,2
0100807008,1,0, , , , , , , ,7,2,5
0100807030,1,0, , , , , , , ,2,1,1
0100807052,1,0, , , , , , , ,2,1,1
0100807075,1,0, , , , , , , ,1,0,1
0100807096,1,0, , , , , , , ,1,0,1
0100811005,1,0, , , , , , , ,2,1,1
0100811023,1,0, , , , , , , ,5,2,3
0100811038,1,0, , , , , , , ,3,1,2
0100811057,1,0, , , , , , , ,7,3,4
0100811075,1,0, , , , , , , ,2,0,2
0100814012,1,0, , , , , , , ,4,2,2
0100814023,1,0, , , , , , , ,4,2,2
0100814096,1,0, , , , , , , ,6,3,3
0100814096,2,0, , , , , , , ,3,1,2
0100815017,1,0, , , , , , , ,3,1,2
0100815036,1,0, , , , , , , ,2,1,1
0100815070,1,0, , , , , , , ,4,3,1
0100816001,1,0, , , , , , , ,2,1,1
0100816042,1,0, , , , , , , ,1,1,0
0100816071,1,0, , , , , , , ,2,1,1
0100816094,1,0, , , , , , , ,4,2,2
0100824003,1,0, , , , , , , ,3,2,1
0100824036,1,0, , , , , , , ,5,3,2
0100824074,1,0, , , , , , , ,3,2,1
0100824137,1,0, , , , , , , ,9,5,4
0100829037,1,0, , , , , , , ,7,3,4
0100829062,1,0, , , , , , , ,2,2,0
0100829093,1,0, , , , , , , ,2,1,1
0100829131,1,0, , , , , , , ,5,4,1
0100831025,1,0, , , , , , , ,2,2,0
0100831049,1,0, , , , , , , ,5,1,4
0100831081,1,0, , , , , , , ,4,1,3
0100831097,1,0, , , , , , , ,5,1,4
0100850016,1,0, , , , , , , ,5,3,2
0100850043,1,0, , , , , , , ,4,2,2
0100850069,1,0, , , , , , , ,3,1,2
0100850069,2,0, , , , , , , ,5,2,3
0100850094,1,0, , , , , , , ,4,3,1
0100850101,1,0, , , , , , , ,2,1,1
0100853019,1,0, , , , , , , ,5,2,3
0100853053,1,0, , , , , , , ,5,1,4
0100853067,1,0, ,1,2,2,2,2,2,3,1,2
0100853100,1,0, , , , , , , ,4,1,3
0100853137,1,0, , , , , , , ,3,2,1
0100860001,1,0, , , , , , , ,5,1,4
0100860019,1,0, , , , , , , ,2,1,1
0100860071,1,0, , , , , , , ,1,0,1
0100860091,1,0, , , , , , , ,2,1,1
0100868002,1,0, , , , , , , ,5,3,2
0100868036,1,0, , , , , , , ,5,3,2
0100868078,1,0, , , , , , , ,8,4,4
0100868102,1,0, , , , , , , ,6,3,3
0100882013,1,0, , , , , , , ,3,2,1
0100882074,1,0, , , , , , , ,7,3,4
0100882096,1,0, , , , , , , ,6,2,4
0100884003,1,0, , , , , , , ,5,1,4
0100884013,1,0, , , , , , , ,4,2,2
0100884059,1,0, , , , , , , ,5,3,2
0100884079,1,0, , , , , , , ,4,2,2
0100884099,1,0, , , , , , , ,5,3,2
0100888003,1,0, , , , , , , ,8,3,5
0100888025,1,0, , , , , , , ,5,2,3
0100888047,1,0, , , , , , , ,5,2,3
0100888062,1,0, , , , , , , ,7,5,2
0100888101,1,0, , , , , , , ,3,0,3
0100918014,1,0, , , , , , , ,4,2,2
0100918040,1,0, ,1,2,2,2,2,2,2,1,1
0100918052,1,0, , , , , , , ,1,0,1
0100918111,1,0, , , , , , , ,4,1,3
0100924004,1,0, , , , , , , ,1,0,1
0100924027,1,0, , , , , , , ,1,1,0
0100924049,1,0, , , , , , , ,2,1,1
0100925004,1,0, , , , , , , ,2,0,2
0100925027,1,0, , , , , , , ,3,1,2
0100925075,1,0, , , , , , , ,5,2,3
0100928042,1,0, , , , , , , ,3,1,2
0100928049,1,0, , , , , , , ,3,2,1
0100928087,1,0, , , , , , , ,4,0,4
0100928123,1,0, , , , , , , ,1,0,1
0100930019,1,0, , , , , , , ,4,1,3
0100930043,1,0, , , , , , , ,5,1,4
0100930063,1,0, , , , , , , ,2,1,1
0100930081,1,0, , , , , , , ,4,2,2
0100930101,1,0, , , , , , , ,2,1,1
0100932022,1,0, , , , , , , ,3,1,2
0100932065,1,0, , , , , , , ,4,1,3
0100932078,1,0, , , , , , , ,2,1,1
0100932085,1,0, , , , , , , ,2,1,1
0100934018,1,0, , , , , , , ,4,2,2
0100934029,1,0, , , , , , , ,4,3,1
0100934050,1,0, , , , , , , ,3,2,1
0100934100,1,0, ,1,2,2,2,2,2,3,1,2
0100935044,1,0, , , , , , , ,4,3,1
0100935088,1,0, , , , , , , ,5,3,2
0100935108,1,0, , , , , , , ,4,2,2
0100939004,1,0, ,1,2,2,2,2,2,3,1,2
0100939074,1,0, , , , , , , ,4,2,2
0100939110,1,0, , , , , , , ,1,0,1
0100939146,1,0, , , , , , , ,4,2,2
0100948010,1,0, , , , , , , ,4,2,2
0100948031,1,0, , , , , , , ,2,0,2
0100948055,1,0, , , , , , , ,6,2,4
0100948078,1,0, , , , , , , ,6,2,4
0100948093,1,0, , , , , , , ,5,3,2
0100950003,1,0, , , , , , , ,4,2,2
0100950033,1,0, , , , , , , ,3,2,1
0100950073,1,0, , , , , , , ,3,1,2
0100950091,1,0, , , , , , , ,1,1,0
0100950107,1,0, , , , , , , ,7,5,2
0100953009,1,0, , , , , , , ,3,1,2
0100953020,1,0, , , , , , , ,2,1,1
0100953053,1,0, , , , , , , ,3,1,2
0100953086,1,0, , , , , , , ,3,2,1
0100961016,1,0, , , , , , , ,5,3,2
0100961034,1,0, , , , , , , ,1,1,0
0100961068,1,0, , , , , , , ,4,1,3
0100961097,1,0, , , , , , , ,2,1,1
0100987003,1,0, , , , , , , ,5,1,4
0100987028,1,0, , , , , , , ,4,3,1
0100987052,1,0, , , , , , , ,2,1,1
0100987076,1,0, , , , , , , ,4,3,1
0100987104,1,0, , , , , , , ,4,2,2
0100994002,1,0, , , , , , , ,2,0,2
0100994043,1,0, , , , , , , ,2,1,1
0100994065,1,0, , , , , , , ,4,2,2
0100994097,1,0, , , , , , , ,5,4,1
0101000010,1,0, , , , , , , ,3,1,2
0101000026,1,0, , , , , , , ,3,0,3
0101000049,1,0, , , , , , , ,3,2,1
0101000074,1,0, , , , , , , ,5,3,2
0101000107,1,0, , , , , , , ,1,1,0
0101003002,1,0, , , , , , , ,3,2,1
0101003034,1,0, , , , , , , ,6,3,3
0101003089,1,0, , , , , , , ,3,1,2
0101003116,1,0, , , , , , , ,3,0,3
0101005015,1,0, , , , , , , ,11,6,5
0101005041,1,0, , , , , , , ,4,2,2
0101005060,1,0, , , , , , , ,3,2,1
0101005071,1,0, , , , , , , ,1,1,0
